"Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"Timo Boll","Germany",31,1.81,74,"M",1981-08-03,"ERBACH",0,0,0,0,"Table Tennis","Men's Singles, Men's Team"
"Flora Bolonyai","Hungary",21,1.79,69,"F",1991-05-04,"Budapest (HUN)",0,0,0,0,"Water Polo","Women's Water Polo"
"Sergey Bolshakov","Russian Federation",24,1.9,90,"M",1988-06-06,"Izhevsk (RUS)",0,0,0,0,"Swimming","Men's 10km Marathon"
"Svetlana Bolshakova","Belgium",27,1.78,68,"F",NA,"Leningrad (RUS)",0,0,0,0,"Athletics","Women's Triple Jump"
"Usain Bolt","Jamaica",25,1.96,93,"M",NA,"Trelawny (JAM)",0,0,0,0,"Athletics","Men's 100m, Men's 200m, Men's 4 x 100m Relay"
"Sinivie Boltic","Nigeria",30,NA,96,"M",1982-02-07,"FAMGBE TOWN (NGR)",0,0,0,0,"Wrestling","Men's 96kg Freestyle"
"Ibrahim Bolukbasi","Turkey",21,1.86,84,"M",1990-01-12,"Erzurum (TUR)",0,0,0,0,"Wrestling","Men's 84kg Freestyle"
"Sarah Bombell","Australia",29,1.67,NA,"F",1983-12-04,"Sydney (AUS)",0,0,0,0,"SynchrnsdSwm","Women's Duets, Women's Teams"
"Sonia Bompastor","France",32,1.62,53,"F",1980-08-06,"",0,0,0,0,"Football","Women's Football"
"Hamish Bond","New Zealand",26,1.89,91,"M",NA,"",1,0,0,1,"Rowing","Men's Pair"
"Louise Bond-Williams","Great Britain",30,1.69,59,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"Oleksandr Bondar","Ukraine",18,1.72,63,"M",NA,"LUGANSK (UKR)",0,0,0,0,"Diving","Men's 10m Platform, Men's Synchronised 10m Platform"
"Bohdan Bondarenko","Ukraine",22,1.97,80,"M",NA,"Kharkiv (UKR)",0,0,0,0,"Athletics","Men's High Jump"
"Kateryna Bondarenko","Ukraine",25,1.75,62,"F",1986-08-08,"",0,0,0,0,"Tennis","Women's Singles"
"Stanislav Bondarenko","Ukraine",24,1.98,118,"M",NA,"ZAPORIZHZHYA (UKR)",0,0,0,0,"Judo","Men's +100kg"
"Roman Bondaruk","Ukraine",38,1.76,91,"M",NA,"Lviv (UKR)",0,0,0,0,"Shooting","Men's 25m Rapid Fire Pistol"
"Marianne Bonde Petersen","Denmark",28,1.84,72,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Antoaneta Boneva","Bulgaria",26,1.73,58,"F",NA,"TARGOVISHTE (BUL)",0,0,0,0,"Shooting","Women's 10m Air Pistol, Women's 25m Pistol"
"Liemarvin Bonevacia","Independent Olympic Athletes",23,1.8,81,"M",1989-05-04,"Curazzzao ()",0,0,0,0,"Athletics","Men's 400m"
"Elena Maria Bonfanti","Italy",24,1.72,60,"F",1988-09-07,"Milano (ITA)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Caio Bonfim","Brazil",21,NA,NA,"M",NA,"Brasilia (BRA)",0,0,0,0,"Athletics","Men's 20km Race Walk"
"Dante Boninfante","Italy",35,1.88,85,"M",1977-07-03,"BATTIPAGLIA (ITA)",0,0,0,0,"Volleyball","Men's Volleyball"
"Bartlomiej Wojciech Bonk","Poland",27,1.8,105,"M",1984-11-10,"WIECBORK",0,0,0,0,"Weightliftng","Men's 105kg"
"Daisurami Bonne","Cuba",24,NA,NA,"F",1988-09-03,"Guantanamo (CUB)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Yowlys Bonne Rodriguez","Cuba",28,NA,NA,"M",1983-02-11,"Guantanamo (CUB)",0,0,0,0,"Wrestling","Men's 60kg Freestyle"
"Charlotte Bonnet","France",17,1.74,61,"F",NA,"ENGHIEN LES BAINS (FRA)",0,0,1,1,"Swimming","Women's 100m Freestyle, Women's 4x200m Freestyle Relay, Women's 4x100m Medley Relay"
"Georgia Bonora","Australia",22,1.61,NA,"F",NA,"FITZROY (AUS)",0,0,0,0,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Julien Bontemps","France",33,1.83,74,"M",1979-01-06,"EPINAL (FRA)",0,0,0,0,"Sailing","Men's RS-X"
"Lars Boom","Netherlands",26,1.91,81,"M",NA,"VLIJMEN (NED)",0,0,0,0,"Cycling-Road","Men's Individual Time Trial, Men's Road Race"
"Jill Boon","Belgium",25,1.72,65,"F",NA,"Uccle (BEL)",0,0,0,0,"Hockey","Women's Hockey"
"Tom Boon","Belgium",22,1.84,81,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Tom Boonen","Belgium",31,1.92,82,"M",NA,"MOL (BEL)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Ek Boonsawad","Thailand",23,1.82,80,"M",NA,"CHON BURI (THA)",0,0,0,0,"Sailing","Men's RS-X"
"Wanida Boonwan","Thailand",25,1.65,53,"F",NA,"UBON RATCHATHANI (THA)",0,0,0,0,"Athletics","Women's High Jump"
"Joshua Booth","Australia",21,1.9,93,"M",1990-09-10,"",0,0,0,0,"Rowing","Men's Eight"
"Melanie Booth","Canada",27,1.75,65,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Rachel Bootsma","United States of America",18,1.75,66,"F",NA,"Robbinsdale (USA)",0,0,0,0,"Swimming","Women's 100m Backstroke, Women's 4x100m Medley Relay"
"Rohan Bopanna","India",32,NA,NA,"M",1980-04-03,"",0,0,0,0,"Tennis","Men's Doubles"
"Rasul Boqiev","Tajikistan",29,1.7,73,"M",NA,"RUDAKI (TJK)",0,0,0,0,"Judo","Men's -73kg"
"Barna Bor","Hungary",25,1.95,128,"M",1986-12-12,"KEREPESTARCSA (HUN)",0,0,0,0,"Judo","Men's +100kg"
"Kjetil Borch","Norway",22,NA,NA,"M",NA,"",0,0,0,0,"Rowing","Men's Double Sculls"
"Valeriy Borchin","Russian Federation",25,1.78,63,"M",1986-11-09,"MORDOVIA REGION (RUS)",0,0,0,0,"Athletics","Men's 20km Race Walk"
"Cleopatra Borel","Trinidad and Tobago",33,1.72,91,"F",1979-10-03,"MAYARO (TRI)",0,0,0,0,"Athletics","Women's Shot Put"
"Yannick Borel","France",23,1.95,94,"M",1988-05-11,"",0,0,0,0,"Fencing","Men's Individual Epee"
"Diane Borg","Malta",21,1.62,60,"F",1990-12-09,"PIETA (MLT)",0,0,0,0,"Athletics","Women's 100m"
"Lazaro Borges","Cuba",26,NA,NA,"M",NA,"Ciudad Habana (CUB)",0,0,0,0,"Athletics","Men's Pole Vault"
"Romulo Borges Monteiro","Brazil",21,1.85,82,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Maria Borisenko","Russian Federation",26,1.9,80,"F",1986-08-03,"Nizhniy Novgorod (RUS)",0,0,0,0,"Volleyball","Women's Volleyball"
"Sergey Borisov","Russian Federation",29,1.78,93,"M",NA,"TULA REGION (RUS)",0,0,0,0,"Cycling-Trck","Men's Keirin, Men's Team Sprint"
"Jonathan Borlee","Belgium",24,1.8,67,"M",NA,"Woluwe",0,0,0,0,"Athletics","Men's 400m, Men's 4 x 400m Relay"
"Kevin Borlee","Belgium",24,1.8,67,"M",NA,"Woluwe",0,0,0,0,"Athletics","Men's 400m, Men's 4 x 400m Relay"
"Yaneisi Borlot","Cuba",21,NA,NA,"F",NA,"Santiago de Cuba (CUB)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"Brittany Borman","United States of America",23,1.8,78,"F",1989-01-07,"ST.LOUIS (USA)",0,0,0,0,"Athletics","Women's Javelin Throw"
"Jevgenijs Borodavko","Latvia",25,1.89,100,"M",1986-04-11,"Riga (LAT)",0,0,0,0,"Judo","Men's -100kg"
"Nadiya Borovska","Ukraine",31,1.63,50,"F",NA,"VOLYN' REGION (UKR)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Noel Borshi","Albania",16,1.64,54,"F",NA,"Rome (ITA)",0,0,0,0,"Swimming","Women's 100m Butterfly"
"Jerome Bortoluzzi","France",30,1.82,110,"M",NA,"AMNEVILLE (FRA)",0,0,0,0,"Athletics","Men's Hammer Throw"
"Igor Borysik","Ukraine",28,1.8,77,"M",1984-02-06,"Gomel (BLR)",0,0,0,0,"Swimming","Men's 200m Breaststroke"
"Oleksiy Borysov","Ukraine",29,1.9,96,"M",1983-01-06,"SEVASTOPOL (UKR)",0,0,0,0,"Sailing","Men's Finn"
"Yuriy Borzakovskiy","Russian Federation",31,1.82,73,"M",1981-12-04,"Moscow Region (RUS)",0,0,0,0,"Athletics","Men's 800m"
"Yulia Borzova","Uzbekistan",31,1.77,72,"F",NA,"Tashkent Region (UZB)",0,0,0,0,"Canoe Sprint","Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
"Willemijn Bos","Netherlands",24,1.81,69,"F",1988-02-05,"EELDE (NED)",0,0,0,0,"Hockey","Women's Hockey"
"Marcelien Bos-de Koning","Netherlands",34,1.75,62,"F",1978-10-05,"Hoorn (NED)",0,0,0,0,"Sailing","Women's Elliott 6m"
"Edith Bosch","Netherlands",32,1.83,70,"F",NA,"DEN HELDER (NED)",0,0,1,1,"Judo","Women's -70kg"
"Caterina Bosetti","Italy",18,1.79,59,"F",1994-02-02,"TRADATE (ITA)",0,0,0,0,"Volleyball","Women's Volleyball"
"Lucia Bosetti","Italy",23,1.75,65,"F",1989-09-07,"TRADATE (ITA)",0,0,0,0,"Volleyball","Women's Volleyball"
"Miho Boskovic","Croatia",29,1.96,96,"M",1983-11-01,"",0,0,0,0,"Water Polo","Men's Water Polo"
"Vanessa Boslak","France",30,1.7,62,"F",1982-11-06,"Lesquin (FRA)",0,0,0,0,"Athletics","Women's Pole Vault"
"Matilda Boson","Sweden",30,1.76,64,"F",1981-04-12,"",0,0,0,0,"Handball","Women's Handball"
"Berenger Aymard Bosse","Central African Republic",27,NA,NA,"M",NA,"Bangui (CAF)",0,0,0,0,"Athletics","Men's 100m"
"Pierre-Ambroise Bosse","France",20,1.83,73,"M",1992-11-05,"Nantes (FRA)",0,0,0,0,"Athletics","Men's 800m"
"Isaac Botella Perez","Spain",28,1.61,NA,"M",1984-12-06,"ELCHE (ESP)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Alberto Botia","Spain",23,1.89,82,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Joachim Bottieau","Belgium",23,1.8,81,"M",NA,"BOUSSU (BEL)",0,0,0,0,"Judo","Men's -81kg"
"Kaltoum Bouaasayriya","Morocco",29,1.57,46,"F",NA,"ASSA ZAG (MAR)",0,0,0,0,"Athletics","Women's 3000m Steeplechase"
"Wajdi Bouallegue","Tunisia",30,1.72,NA,"M",1982-09-02,"Tunis (TUN)",0,0,0,0,"Gymnstcs-Art","Men's Qualification"
"Ines Boubakri","Tunisia",23,1.67,56,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Foil"
"Carl Bouckaert","Belgium",58,1.81,78,"M",NA,"WAREGEM (BEL)",0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, CYRANO Z"
"Jente Bouckaert","Belgium",22,1.9,75,"M",NA,"MORTSEL (BEL)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"David Boudia","United States of America",23,1.75,73,"M",NA,"Abilene (USA)",0,0,1,1,"Diving","Men's 10m Platform, Men's Synchronised 10m Platform"
"Marie-Pier Boudreau Gagnon","Canada",29,1.65,NA,"F",1983-03-03,"Riviere",0,0,0,0,"SynchrnsdSwm","Women's Duets, Women's Teams"
"Oussama Boughanmi","Tunisia",22,1.85,83,"M",1990-05-02,"",0,0,0,0,"Handball","Men's Handball"
"Sarah Bouhaddi","France",25,1.75,69,"F",NA,"",0,0,0,0,"Football","Women's Football"
"David Boui","Central African Republic",24,1.85,NA,"M",NA,"Bangui (CAF)",0,0,0,0,"Taekwondo","Men's -68kg"
"Safia Boukhima","Algeria",21,1.76,64,"F",1991-10-01,"",0,0,0,0,"Volleyball","Women's Volleyball"
"Ioulietta Boukouvala","Greece",28,1.73,57,"F",NA,"Ioannina",0,0,0,0,"Judo","Women's -57kg"
"Benjamin Boukpeti","Togo",30,1.77,76,"M",1981-04-08,"LAGNY",0,0,0,0,"Canoe Slalom","Men's Kayak (K1)"
"Laure Boulleau","France",25,1.6,52,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Chouaib Bouloudinats","Algeria",25,1.83,NA,"M",1987-08-01,"",0,0,0,0,"Boxing","Men's Heavy (91kg)"
"Mira Boumejmajen","France",17,1.53,NA,"F",1995-06-06,"VIERZON (FRA)",0,0,0,0,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Yassine Bounou","Morocco",21,1.9,80,"M",1991-05-04,"",0,0,0,0,"Football","Men's Football"
"Soufiyan Bouqantar","Morocco",18,1.73,54,"M",NA,"KHEMISSET MAROC (MAR)",0,0,0,0,"Athletics","Men's 5000m"
"Abderrahime Bouramdane","Morocco",34,1.7,58,"M",1978-01-01,"AIN KANSARA (MAR)",0,0,0,0,"Athletics","Men's Marathon"
"Lorys Bourelly","France",20,1.84,69,"M",NA,"FORT DE FRANCE (FRA)",0,0,0,0,"Swimming","Men's 4x200m Freestyle Relay"
"Mickael Bourgain","France",32,1.81,77,"M",NA,"BOULOGNE",0,0,0,0,"Cycln-Rd,C-T","Men's Road Race, Men's Keirin"
"Celia Bourihane","Algeria",17,1.77,60,"F",NA,"",0,0,0,0,"Volleyball","Women's Volleyball"
"Fiona Bourke","New Zealand",23,1.87,75,"F",NA,"",0,0,0,0,"Rowing","Women's Quadruple Sculls"
"Vered Bouskila","Israel",29,1.8,74,"F",NA,"HOLON (ISR)",0,0,0,0,"Sailing","Women's 470"
"Cedric Boussoughou","Gabon",21,1.7,68,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Fanny Bouvet","France",18,1.63,59,"F",NA,"VERSAILLES (FRA)",0,0,0,0,"Diving","Women's 3m Springboard"
"Carline Bouw","Netherlands",27,1.84,71,"F",NA,"",0,0,1,1,"Rowing","Women's Eight"
"Marit Bouwmeester","Netherlands",24,1.77,66,"F",NA,"BOARNSTERHIM (NED)",0,0,0,0,"Sailing","Women's Laser Radial"
"Alexandre Bouzaid","Senegal",31,1.72,64,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Epee"
"George Richard Bovell","Trinidad and Tobago",29,1.96,86,"M",NA,"Port of Spain (TRI)",0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 100m Freestyle, Men's 100m Backstroke"
"Katie Bowen","New Zealand",18,1.7,58,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Dennis Bowsher","United States of America",29,1.75,73,"M",1983-07-04,"Dallas (USA)",0,0,0,0,"ModrnPntthln","Men's Modern Pentathlon"
"Shannon Boxx","United States of America",35,1.73,67,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Philipp Boy","Germany",25,1.72,NA,"M",NA,"SCHWEDT/ODER (GER)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Brendan Boyce","Ireland",25,1.83,76,"M",1986-08-10,"LETTERKENNY (IRL)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"Fiona Boyce","Australia",25,1.69,60,"F",1987-11-06,"Perth (AUS)",0,0,0,0,"Hockey","Women's Hockey"
"Alana Boyd","Australia",28,1.71,59,"F",1984-10-05,"Melbourne (AUS)",0,0,0,0,"Athletics","Women's Pole Vault"
"Dmytro Boyko","Ukraine",26,1.86,82,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre"
"Lauren Boyle","New Zealand",24,1.83,67,"F",NA,"Auckland (NZL)",0,0,0,0,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle"
"Islam Bozbayev","Kazakhstan",21,1.82,81,"M",1991-11-06,"TEMIRTAU (KAZ)",0,0,0,0,"Judo","Men's -81kg"
"Borut Bozic","Slovenia",31,1.78,70,"M",1980-08-08,"Ljubljana (SLO)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Luka Bozic","Slovenia",21,1.73,72,"M",1991-09-01,"SEMPETER PRI GORICI (SLO)",0,0,0,0,"Canoe Slalom","Men's Canoe Double (C2)"
"Roel Braas","Netherlands",25,2,103,"M",1987-11-03,"",0,0,0,0,"Rowing","Men's Eight"
"Tim Brabants","Great Britain",35,1.89,88,"M",NA,"Chertsey (GBR)",0,0,0,0,"Canoe Sprint","Men's Kayak Single (K1) 1000m"
"Daniele Bracciali","Italy",34,1.8,78,"M",1978-10-01,"",0,0,0,0,"Tennis","Men's Doubles, Mixed Doubles"
"Sophie Bradley","Great Britain",22,1.69,59,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Rachel Bragg","Great Britain",27,1.84,75,"F",1984-11-12,"BROMSGROVE (GBR)",0,0,0,0,"Volleyball","Women's Volleyball"
"Samir Brahimi","Algeria",22,1.7,NA,"M",NA,"Alger (ALG)",0,0,0,0,"Boxing","Men's Fly (52kg)"
"Michael Braithwaite","Canada",25,1.89,91,"M",1987-02-03,"",0,0,0,0,"Rowing","Men's Double Sculls"
"Janez Brajkovic","Slovenia",28,1.78,60,"M",NA,"Novo Mesto (SLO)",0,0,0,0,"Cycling-Road","Men's Individual Time Trial, Men's Road Race"
"Jovana Brakocevic","Serbia",24,1.96,82,"F",1988-05-03,"Zrenjanin (SRB)",0,0,0,0,"Volleyball","Women's Volleyball"
"David Brandl","Austria",25,1.87,82,"M",NA,"Linz (AUT)",0,0,0,0,"Swimming","Men's 200m Freestyle, Men's 4x200m Freestyle Relay"
"Nadine Brandl","Austria",22,1.68,NA,"F",1990-11-03,"Wien (AUT)",0,0,0,0,"SynchrnsdSwm","Women's Duets"
"Nathan Brannen","Canada",29,1.74,58,"M",1982-08-09,"Cambridge (CAN)",0,0,0,0,"Athletics","Men's 1500m"
"Ana Maria Branza","Romania",27,1.75,63,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Epee, Women's Team Epee"
"Scott Brash","Great Britain",26,1.71,64,"M",NA,"Edinburgh (GBR)",0,0,0,0,"Equestrian","Individual Jumping, Team Jumping, HELLO SANCTOS"
"Daniel Brata","Romania",27,1.85,100,"M",NA,"BAIA MARE (ROU)",0,0,0,0,"Judo","Men's -100kg"
"Ryan Brathwaite","Barbados",24,1.85,77,"M",1988-06-06,"Bridgetown (BAR)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Shane Brathwaite","Barbados",22,1.82,77,"M",1990-08-02,"Bridgetown (BAR)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Georgi Bratoev","Bulgaria",24,2.02,88,"M",NA,"Sofia (BUL)",0,0,0,0,"Volleyball","Men's Volleyball"
"Valentin Bratoev","Bulgaria",24,2.01,87,"M",NA,"Sofia (BUL)",0,0,0,0,"Volleyball","Men's Volleyball"
"Yannick Brauchli","Switzerland",24,1.74,64,"M",NA,"Zurich (SUI)",0,0,0,0,"Sailing","Men's 470"
"Anton Braun","Germany",22,1.97,102,"M",NA,"",0,0,0,0,"Rowing","Men's Pair"
"Albert Bravo","Venezuela",24,1.98,85,"M",NA,"MARACAIBO (VEN)",0,0,0,0,"Athletics","Men's 400m, Men's 4 x 400m Relay"
"Osmar Bravo Amador","Nicaragua",27,1.8,NA,"M",1984-01-11,"NUEVA GUINEA (NCA)",0,0,0,0,"Boxing","Men's Light Heavy (81kg)"
"Caterin Bravo Aranguiz","Chile",36,1.73,63,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Epee"
"Elizabeth Bravo Iniguez","Ecuador",25,1.6,47,"F",NA,"Cuenca (ECU)",0,0,0,0,"Triathlon","Women's Triathlon"
"Oscar Brayson","Cuba",27,NA,108,"M",1985-10-02,"Camaguey",0,0,0,0,"Judo","Men's +100kg"
"Dominic Breazeale","United States of America",26,2.01,NA,"M",NA,"Glendale (USA)",0,0,0,0,"Boxing","Men's Super Heavy (+91kg)"
"Stefano Brecciaroli","Italy",37,1.78,78,"M",NA,"Roma (ITA)",0,0,0,0,"Equestrian","Individual Eventing, APOLLO WD WENDI KURT HOEV"
"Melissa Breen","Australia",21,1.74,66,"F",NA,"Canberra (AUS)",0,0,0,0,"Athletics","Women's 100m"
"Karoline Dyhre Breivang","Norway",32,1.72,NA,"F",1980-10-05,"",0,0,0,0,"Handball","Women's Handball"
"Odd Arne Brekne","Norway",27,NA,NA,"M",1984-01-09,"FARSUND (NOR)",0,0,0,0,"Shooting","Men's 50m Rifle Prone"
"Sebastian Brendel","Germany",24,1.92,92,"M",1988-12-03,"SCHWEDT ODER (GER)",0,0,0,0,"Canoe Sprint","Men's Canoe Single (C1) 1000m, Men's Canoe Single (C1) 200m"
"Nery Brenes","Costa Rica",26,1.75,70,"M",NA,"Limon (CRC)",0,0,0,0,"Athletics","Men's 400m"
"Ashleigh Brennan","Australia",21,1.59,NA,"F",NA,"NORTH DANDENONG (AUS)",0,0,0,0,"Gymnstcs-Art","Women's Individual All-Around, Women's Team, Women's Qualification"
"Scott Brennan","Australia",29,1.93,93,"M",1983-09-01,"",0,0,0,0,"Rowing","Men's Double Sculls"
"Lisa Brennauer","Germany",24,1.68,63,"F",1988-08-06,"KEMPTEN (GER)",0,0,0,0,"Cycling-Trck","Women's Team Pursuit"
"Matti Breschel","Denmark",27,1.82,68,"M",NA,"FAKSE (DEN)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Julie Bresset","France",23,1.67,53,"F",1989-09-06,"SAINT",0,0,0,0,"Cyclng-MntnB","Women's Cross-country"
"Luis Brethauer","Germany",19,1.75,78,"M",NA,"Aschaffenburg (GER)",0,0,0,0,"Cycling-BMX","Men's BMX"
"Drasko Brguljan","Montenegro",27,1.94,88,"M",NA,"KOTOR (MNE)",0,0,0,0,"Water Polo","Men's Water Polo"
"Richard Brickell","Great Britain",36,1.8,76,"M",NA,"NEWBURY (GBR)",0,0,0,0,"Shooting","Men's Skeet"
"Thomas Briels","Belgium",24,1.72,71,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Jo Brigden-Jones","Australia",24,1.82,76,"F",NA,"",0,0,0,0,"Canoe Sprint","Women's Kayak Four (K4) 500m"
"Tarryn Bright","South Africa",29,1.74,71,"F",NA,"Cape Town (RSA)",0,0,0,0,"Hockey","Women's Hockey"
"Julius Brink","Germany",30,1.86,86,"M",1982-06-07,"",0,0,0,0,"BeachVllybll","Men's Beach Volleyball"
"Leidys Brito","Venezuela",28,1.69,77,"F",1984-05-07,"MATURIN",0,0,0,0,"Archery","Women's Individual"
"Matthew Brittain","South Africa",25,1.86,70,"M",1987-05-05,"",1,0,0,1,"Rowing","Men's Lightweight Four"
"Fionnuala Britton","Ireland",27,1.58,43,"F",NA,"Dublin (IRL)",0,0,0,0,"Athletics","Women's 3000m Steeplechase, Women's 5000m, Women's 10,000m"
"Laurence Brize","France",36,1.58,50,"F",1976-12-07,"LE PUY (FRA)",0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
"Brittany Broben","Australia",16,1.63,52,"F",NA,"BENOWA (AUS)",0,0,0,0,"Diving","Women's 10m Platform"
"Norman Brockl","Germany",25,1.83,90,"M",NA,"Berlin (GER)",0,0,0,0,"Canoe Sprint","Men's Kayak Four (K4) 1000m"
"Anke Brockmann","Germany",23,1.69,60,"F",NA,"Berlin (GER)",0,0,0,0,"Hockey","Women's Hockey"
"Daniel Brodmeier","Germany",24,1.79,98,"M",1987-02-09,"KELHEIM (GER)",0,0,0,0,"Shooting","Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
"Nadine Broersen","Netherlands",22,1.71,63,"F",NA,"Hoorn (NED)",0,0,0,0,"Athletics","Women's Heptathlon"
"Jean Pierre Brol Cardenas","Guatemala",29,1.79,91,"M",NA,"GUATEMALA CITY (GUA)",0,0,0,0,"Shooting","Men's Trap"
"Giorgia Bronzini","Italy",29,1.61,54,"F",1983-03-08,"PIACENZA (ITA)",0,0,0,0,"Cycling-Road","Women's Road Race"
"Jacqueline Brooks","Canada",44,1.75,66,"F",NA,"Edmonton (CAN)",0,0,0,0,"Equestrian","Individual Dressage, Team Dressage, D' NIRO"
"Lance Brooks","United States of America",28,1.98,123,"M",1984-01-01,"Springfield (USA)",0,0,0,0,"Athletics","Men's Discus Throw"
"Tia Brooks","United States of America",22,1.83,109,"F",1990-02-08,"Saginaw (USA)",0,0,0,0,"Athletics","Women's Shot Put"
"Kouassi Brou","Cote d'Ivoire",20,1.86,73,"M",NA,"AGNIBILEKROU (CIV)",0,0,0,0,"Swimming","Men's 50m Freestyle"
"Tore Brovold","Norway",42,NA,NA,"M",1970-12-06,"Hamar (NOR)",0,0,0,0,"Shooting","Men's Skeet"
"Aaron Brown","Canada",20,1.98,79,"M",NA,"Toronto (CAN)",0,0,0,0,"Athletics","Men's 200m"
"Adam Brown","Great Britain",23,1.96,95,"M",NA,"Cambridge (GBR)",0,0,0,0,"Swimming","Men's 50m Freestyle, Men's 100m Freestyle"
"Celeste Brown","Cook Islands",17,1.68,71,"F",1994-04-08,"Hornsby (AUS)",0,0,0,0,"Swimming","Women's 50m Freestyle"
"Chris Brown","Bahamas",33,1.78,75,"M",NA,"ELEUTHERA (BAH)",0,0,0,0,"Athletics","Men's 400m, Men's 4 x 400m Relay"
"Jeremiah Brown","Canada",26,1.98,106,"M",NA,"",0,1,0,1,"Rowing","Men's Eight"
"Kiel Brown","Australia",28,1.72,72,"M",1984-04-05,"",0,0,0,0,"Hockey","Men's Hockey"
"Laura Brown","Canada",25,1.67,59,"F",NA,"Calgary (CAN)",0,0,0,0,"Cycling-Trck","Women's Team Pursuit"
"Rachel Brown","Great Britain",32,1.68,66,"F",1980-02-07,"",0,0,0,0,"Football","Women's Football"
"T'erea Brown","United States of America",22,1.75,64,"F",NA,"Charleston (USA)",0,0,0,0,"Athletics","Women's 400m Hurdles"
"Victoria Brown","Australia",27,1.83,76,"F",NA,"Melbourne (AUS)",0,0,0,0,"Water Polo","Women's Water Polo"
"Stephanie Brown Trafton","United States of America",32,1.93,93,"F",1979-01-12,"San Luis Obispo (USA)",0,0,0,0,"Athletics","Women's Discus Throw"
"Marcus Browne","United States of America",21,1.88,NA,"M",1990-10-11,"STATEN ISLAND/ PARKHILL (USA)",0,0,0,0,"Boxing","Men's Light Heavy (81kg)"
"Alistair Brownlee","Great Britain",24,1.85,70,"M",NA,"DEWSBURY (GBR)",0,0,0,0,"Triathlon","Men's Triathlon"
"Jonathan Brownlee","Great Britain",22,1.78,68,"M",NA,"Leeds (GBR)",0,0,0,0,"Triathlon","Men's Triathlon"
"Alex Bruce","Canada",22,1.82,75,"F",NA,"Toronto",0,0,0,0,"Badminton","Women's Doubles"
"Nathalie Brugger","Switzerland",26,1.72,70,"F",NA,"Lausanne (SUI)",0,0,0,0,"Sailing","Women's Laser Radial"
"Annika Bruhn","Germany",19,NA,NA,"F",1992-05-10,"Karlsruhe (GER)",0,0,0,0,"Swimming","Women's 4x200m Freestyle Relay"
"Kristoffer Brun","Norway",24,NA,NA,"M",1988-07-04,"",0,0,0,0,"Rowing","Men's Lightweight Double Sculls"
"Milan Bruncvik Jr","Czech Republic",28,1.85,82,"M",NA,"",0,0,0,0,"Rowing","Men's Four"
"Manuel Brunet","Argentina",26,1.78,81,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Francesco Bruno","Italy",34,1.7,66,"M",NA,"FOGGIA (ITA)",0,0,0,0,"Shooting","Men's 50m Pistol, Men's 10m Air Pistol"
"Justine Bruno","France",18,1.74,63,"F",NA,"BEAUVAIS (FRA)",0,0,0,0,"Swimming","Women's 100m Butterfly, Women's 4x100m Medley Relay"
"Nicolas Bruno","Argentina",23,1.87,83,"M",NA,"Buenos Aires (ARG)",0,0,0,0,"Volleyball","Men's Volleyball"
"Johan Brunstrom","Sweden",32,1.93,89,"M",1980-03-04,"",0,0,0,0,"Tennis","Men's Doubles"
